編號,供應商簡稱,分類
29740,尋尋覓蜜 蜂蜜專賣,農產品/原住民/花東
29884,御正童仔雞,生鮮水產/肉品
29903,米大菇食,農產品/原住民/花東
29944,卡彿魯岸,茶/咖啡
30004,農心未泯,#N/A
30075,自食糧果Sliango,農產品/原住民/花東
30122,集昌中藥,農產品/原住民/花東
30174,傳貴有機豆漿✪今天訂後天到✪,飲料
30182,潤儀中藥行,#N/A
30358,優風手作,食品加工品
30459,苗栗獅潭 標哥有機草莓,水果
30501,義仁酪梨花果園,水果
30569,魔法森林,#N/A
30608,黑木耳美食專賣．柯媽媽の植物燕窩,#N/A
30621,金新鮮生技，金新鮮水產,電器3c/美妝
30638,嘉義布袋 陳大哥回甘小番茄,水果
30678,宸寶開心農場,水果
30707,聖宏滿海鮮,#N/A
30782,穀享-生活爆米香,甜點
30802,淳鮮 瀚頂生技 | PUREDISE,生鮮水產/肉品
30830,華村食品,食品加工品
30838,林金成│宇草堂區域代理│RA-CD-3846,運動/園藝/生活/其他
30861,快樂樣,#N/A
30917,嘉義布袋 日本種罕見燈籠果,水果
31099,薽品瑄,#N/A
31162,清田森活木瓜農場,水果
31291,南投信義 石伯伯高山青梅,水果
31338,航行樂,電器3c/美妝
31387,清流部落農場,農產品/原住民/花東
31416,里山盟優選好物,#N/A
31425,小語媽手作饅頭,食品加工品
31573,大日產業株式會社  ,運動/園藝/生活/其他
31576,Clean&Cucina 檸淨工坊,運動/園藝/生活/其他
31712,床工場生活館 屏東,#N/A
31714,先生嬤 百年中醫世家,運動/園藝/生活/其他
31869,彭家豬肉舖,生鮮水產/肉品
31990,清亦輕Clean&Light,飲料
32016,苗栗卓蘭 富哥的春豐水蜜桃,水果
32105,海岸山麥健康吐司坊,甜點
32148,好客媽媽,食品加工品
32178,高雄旗山 張伯伯玉荷包荔枝,水果
32466,高雄姑山 阿燕的選粒玉荷包,水果
32617,台南楠西 松哥的西施芒果,水果
32619,鴻祥食品,#N/A
32621,Tong City 彤城。甜點專門店,甜點
32653,梧農小舖,#N/A
32704,峰忠傳奇,農產品/原住民/花東
32776,安蜂養蜂場 台灣國產蜂蜜,農產品/原住民/花東
32802,糙人這一家,#N/A
32889,炭茶道(TAN CHA DAU),茶/咖啡
32950,Wesharelife【EGF+銀杏修護保濕面膜】,電器3c/美妝
33023,識魚郎,生鮮水產/肉品
33057,聲寶,#N/A
33058,日立,#N/A
33079,奇美,#N/A
33119,陳媽媽農場,水果
33121,就是可愛,運動/園藝/生活/其他
33230,健康進行式 ‧ 珍玉銀耳露,飲料
33237,草本暖呼呼,#N/A
33243,石三木廠,電器3c/美妝
33468,Zenfab有機棉服飾,運動/園藝/生活/其他
33491,中景科技ebooks,電器3c/美妝
33516,鑫佰揚食品商行,#N/A
33546,elho 荷蘭時尚園藝花器,運動/園藝/生活/其他
33669,Cup of excellent,#N/A
33760,Go Wild野餐大晴天,運動/園藝/生活/其他
33762,wildcape野角有機南非國寶茶,#N/A
33905,taoyuanlin,運動/園藝/生活/其他
33920,金感蝦,生鮮水產/肉品
33934,Campart Travel 荷蘭墾旅,運動/園藝/生活/其他
33983,德國原裝進口Agricola植物者,運動/園藝/生活/其他
34017,荷蘭公主,電器3c/美妝
34022,韓大發LANCI's shop日韓代,#N/A
34072,四吾季旦,飲料
34161,倉田水產,#N/A
34511,承果貿易行銷有限公司,農產品/原住民/花東
34607,璞草園,電器3c/美妝
34666,蛋自慢,農產品/原住民/花東
35219,FCMlidia呂底亞到府月子管家,#N/A
35265,屏東九如 彥宇的有機檸檬,水果
35325,西湖水通伯柚子農莊,水果
35453,瑋恩書店,幼兒相關
35461,CliqueFie,電器3c/美妝
35478,Vespressa 精品咖啡專賣,茶/咖啡
35711,呵咖飛 自家烘焙/咖啡豆專賣/咖啡館,茶/咖啡
35811,Mini Cooper,幼兒相關
35914,原川水產,生鮮水產/肉品
35932,byfunme,#N/A
36080,梁家小妹黑豬肉,生鮮水產/肉品
36184,PAIX,運動/園藝/生活/其他
36187,柚寶貝文旦園,水果
36201,東方佳聯生物科技有限公司,飲料
36436,德國Benz嚕嚕車,幼兒相關
36760,長慶水果網路超市宅配網,#N/A
36895,honeywell美國醫師推薦品牌,電器3c/美妝
36900,輪胎守衛,運動/園藝/生活/其他
